 1.00000000e+00  0.00000000e+00  0.00000000e+00  5.61220182e-05 
 1.00000000e+00  1.00000000e+00  0.00000000e+00 -1.60034648e-04 
 1.00000000e+00  2.00000000e+00  0.00000000e+00  9.98772147e-05 
 1.00000000e+00  3.00000000e+00  0.00000000e+00  9.00459425e-06 
 1.00000000e+00  4.00000000e+00  0.00000000e+00 -1.95250781e-05 
 1.00000000e+00  5.00000000e+00  0.00000000e+00 -1.57582661e-03 
 1.00000000e+00  6.00000000e+00  0.00000000e+00 -1.00757676e-04 
 1.00000000e+00  7.00000000e+00  0.00000000e+00  3.23288403e-04 
 1.00000000e+00  8.00000000e+00  0.00000000e+00 -6.87132044e-04 
 1.00000000e+00  9.00000000e+00  0.00000000e+00  1.23426753e-03 
 1.00000000e+00  1.00000000e+01  0.00000000e+00  2.04647809e-03 
 1.00000000e+00  1.10000000e+01  0.00000000e+00 -2.73708089e-03 
 1.00000000e+00  1.20000000e+01  0.00000000e+00 -2.60507648e-03 
 1.00000000e+00  1.30000000e+01  0.00000000e+00 -1.45454183e-03 
 1.00000000e+00  1.40000000e+01  0.00000000e+00  1.75700815e-03 
 1.00000000e+00  1.50000000e+01  0.00000000e+00 -2.80302008e-04 
 1.00000000e+00  1.60000000e+01  0.00000000e+00  2.29734125e-03 
 1.00000000e+00  1.70000000e+01  0.00000000e+00 -1.95286124e-05 
 1.00000000e+00  1.80000000e+01  0.00000000e+00 -1.53648889e-03 
 1.00000000e+00  1.90000000e+01  0.00000000e+00  2.04177667e-03 
 1.00000000e+00  2.00000000e+01  0.00000000e+00 -9.67439236e-04 
 1.00000000e+00  2.10000000e+01  0.00000000e+00 -9.32343021e-04 
 1.00000000e+00  2.20000000e+01  0.00000000e+00 -9.92558163e-04 
 1.00000000e+00  2.30000000e+01  0.00000000e+00  1.34598125e-03 
 1.00000000e+00  2.40000000e+01  0.00000000e+00  3.68751342e-03 
 1.00000000e+00  2.50000000e+01  0.00000000e+00 -6.71187075e-04 
 1.00000000e+00  2.60000000e+01  0.00000000e+00  2.02002187e-03 
 1.00000000e+00  2.70000000e+01  0.00000000e+00  2.90230112e-03 
 1.00000000e+00  2.80000000e+01  0.00000000e+00  2.18143280e-03 
 1.00000000e+00  2.90000000e+01  0.00000000e+00 -1.51872299e-03 
 1.00000000e+00  3.00000000e+01  0.00000000e+00 -7.41016103e-04 
 1.00000000e+00  3.10000000e+01  0.00000000e+00  4.54598408e-04 
 1.00000000e+00  3.20000000e+01  0.00000000e+00  8.88246645e-04 
 1.00000000e+00  3.30000000e+01  0.00000000e+00  1.02331771e-03 
 1.00000000e+00  3.40000000e+01  0.00000000e+00  1.93014732e-03 
 1.00000000e+00  3.50000000e+01  0.00000000e+00  3.55487298e-04 
 1.00000000e+00  3.60000000e+01  0.00000000e+00 -1.68895613e-03 
 1.00000000e+00  3.70000000e+01  0.00000000e+00 -9.48219266e-04 
 1.00000000e+00  3.80000000e+01  0.00000000e+00  1.07640548e-03 
 1.00000000e+00  3.90000000e+01  0.00000000e+00  2.28345288e-03 
 1.00000000e+00  4.00000000e+01  0.00000000e+00 -2.13538809e-04 
 1.00000000e+00  4.10000000e+01  0.00000000e+00 -6.93796268e-04 
 1.00000000e+00  4.20000000e+01  0.00000000e+00  7.57558507e-04 
 1.00000000e+00  4.30000000e+01  0.00000000e+00 -1.23000141e-03 
 1.00000000e+00  4.40000000e+01  0.00000000e+00 -2.04219275e-04 
 1.00000000e+00  4.50000000e+01  0.00000000e+00  6.60281757e-04 
 1.00000000e+00  4.60000000e+01  0.00000000e+00  9.50974040e-04 
 1.00000000e+00  4.70000000e+01  0.00000000e+00  1.04952152e-03 
 1.00000000e+00  4.80000000e+01  0.00000000e+00 -1.17102596e-03 
 1.00000000e+00  4.90000000e+01  0.00000000e+00 -4.98347637e-04 
 1.00000000e+00  5.00000000e+01  0.00000000e+00  2.54203211e-03 
 1.00000000e+00  5.10000000e+01  0.00000000e+00 -1.08400691e-03 
 1.00000000e+00  5.20000000e+01  0.00000000e+00 -2.65685981e-03 
 1.00000000e+00  5.30000000e+01  0.00000000e+00  1.19834828e-03 
 1.00000000e+00  5.40000000e+01  0.00000000e+00 -1.40614316e-03 
 1.00000000e+00  5.50000000e+01  0.00000000e+00  3.12081472e-03 
 1.00000000e+00  5.60000000e+01  0.00000000e+00  1.64331541e-03 
 1.00000000e+00  5.70000000e+01  0.00000000e+00  1.04879704e-03 
 1.00000000e+00  5.80000000e+01  0.00000000e+00  5.04351801e-04 
