 0.00000000e+00  0.00000000e+00  0.00000000e+00  5.23496044e-02 
 1.00000000e-02  1.00000000e-02  1.00000000e-02  5.80080850e-02 
 2.00000000e-02  2.00000000e-02  2.00000000e-02  6.40719844e-02 
 3.00000000e-02  3.00000000e-02  3.00000000e-02  7.04010930e-02 
 4.00000000e-02  4.00000000e-02  4.00000000e-02  7.69432620e-02 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  8.36742959e-02 
 6.00000000e-02  6.00000000e-02  6.00000000e-02  9.05815746e-02 
 7.00000000e-02  7.00000000e-02  7.00000000e-02  9.76582383e-02 
 8.00000000e-02  8.00000000e-02  8.00000000e-02  1.04900682e-01 
 9.00000000e-02  9.00000000e-02  9.00000000e-02  1.12307284e-01 
 1.00000000e-01  1.00000000e-01  1.00000000e-01  1.19877647e-01 
 1.10000000e-01  1.10000000e-01  1.10000000e-01  1.27612055e-01 
 1.20000000e-01  1.20000000e-01  1.20000000e-01  1.35511019e-01 
 1.30000000e-01  1.30000000e-01  1.30000000e-01  1.43574842e-01 
 1.40000000e-01  1.40000000e-01  1.40000000e-01  1.51803187e-01 
 1.50000000e-01  1.50000000e-01  1.50000000e-01  1.60194647e-01 
 1.60000000e-01  1.60000000e-01  1.60000000e-01  1.68746352e-01 
 1.70000000e-01  1.70000000e-01  1.70000000e-01  1.77453677e-01 
 1.80000000e-01  1.80000000e-01  1.80000000e-01  1.86310089e-01 
 1.90000000e-01  1.90000000e-01  1.90000000e-01  1.95307232e-01 
 2.00000000e-01  2.00000000e-01  2.00000000e-01  2.04435223e-01 
 2.10000000e-01  2.10000000e-01  2.10000000e-01  2.13683158e-01 
 2.20000000e-01  2.20000000e-01  2.20000000e-01  2.23039723e-01 
 2.30000000e-01  2.30000000e-01  2.30000000e-01  2.32493789e-01 
 2.40000000e-01  2.40000000e-01  2.40000000e-01  2.42034883e-01 
 2.50000000e-01  2.50000000e-01  2.50000000e-01  2.51653449e-01 
 2.60000000e-01  2.60000000e-01  2.60000000e-01  2.61340856e-01 
 2.70000000e-01  2.70000000e-01  2.70000000e-01  2.71089155e-01 
 2.80000000e-01  2.80000000e-01  2.80000000e-01  2.80890649e-01 
 2.90000000e-01  2.90000000e-01  2.90000000e-01  2.90737465e-01 
 3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00621398e-01 
 3.10000000e-01  3.10000000e-01  3.10000000e-01  3.10534258e-01 
 3.20000000e-01  3.20000000e-01  3.20000000e-01  3.20468558e-01 
 3.30000000e-01  3.30000000e-01  3.30000000e-01  3.30418118e-01 
 3.40000000e-01  3.40000000e-01  3.40000000e-01  3.40378267e-01 
 3.50000000e-01  3.50000000e-01  3.50000000e-01  3.50345694e-01 
 3.60000000e-01  3.60000000e-01  3.60000000e-01  3.60318142e-01 
 3.70000000e-01  3.70000000e-01  3.70000000e-01  3.70294102e-01 
 3.80000000e-01  3.80000000e-01  3.80000000e-01  3.80272576e-01 
 3.90000000e-01  3.90000000e-01  3.90000000e-01  3.90252914e-01 
 4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00234698e-01 
 4.10000000e-01  4.10000000e-01  4.10000000e-01  4.10217669e-01 
 4.20000000e-01  4.20000000e-01  4.20000000e-01  4.20201671e-01 
