 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  6.37758570e+01  1.00000000e+00 -4.58812859e-02 
 1.12201845e+00  1.12201845e+00  0.00000000e+00  1.12201845e+00  6.37758563e+01  1.12201845e+00 -5.14796466e-02 
 1.25892541e+00  1.25892541e+00  0.00000000e+00  1.25892541e+00  6.37758554e+01  1.25892541e+00 -5.77611095e-02 
 1.41253754e+00  1.41253754e+00  0.00000000e+00  1.41253754e+00  6.37758542e+01  1.41253754e+00 -6.48090251e-02 
 1.58489319e+00  1.58489319e+00  0.00000000e+00  1.58489319e+00  6.37758528e+01  1.58489319e+00 -7.27169142e-02 
 1.77827941e+00  1.77827941e+00  0.00000000e+00  1.77827941e+00  6.37758510e+01  1.77827941e+00 -8.15897083e-02 
 1.99526231e+00  1.99526231e+00  0.00000000e+00  1.99526231e+00  6.37758487e+01  1.99526231e+00 -9.15451424e-02 
 2.23872114e+00  2.23872114e+00  0.00000000e+00  2.23872114e+00  6.37758458e+01  2.23872114e+00 -1.02715317e-01 
 2.51188643e+00  2.51188643e+00  0.00000000e+00  2.51188643e+00  6.37758422e+01  2.51188643e+00 -1.15248449e-01 
 2.81838293e+00  2.81838293e+00  0.00000000e+00  2.81838293e+00  6.37758377e+01  2.81838293e+00 -1.29310841e-01 
 3.16227766e+00  3.16227766e+00  0.00000000e+00  3.16227766e+00  6.37758319e+01  3.16227766e+00 -1.45089086e-01 
 3.54813389e+00  3.54813389e+00  0.00000000e+00  3.54813389e+00  6.37758247e+01  3.54813389e+00 -1.62792542e-01 
 3.98107171e+00  3.98107171e+00  0.00000000e+00  3.98107171e+00  6.37758156e+01  3.98107171e+00 -1.82656109e-01 
 4.46683592e+00  4.46683592e+00  0.00000000e+00  4.46683592e+00  6.37758042e+01  4.46683592e+00 -2.04943346e-01 
 5.01187234e+00  5.01187234e+00  0.00000000e+00  5.01187234e+00  6.37757898e+01  5.01187234e+00 -2.29949962e-01 
 5.62341325e+00  5.62341325e+00  0.00000000e+00  5.62341325e+00  6.37757717e+01  5.62341325e+00 -2.58007743e-01 
 6.30957344e+00  6.30957344e+00  0.00000000e+00  6.30957344e+00  6.37757489e+01  6.30957344e+00 -2.89488942e-01 
 7.07945784e+00  7.07945784e+00  0.00000000e+00  7.07945784e+00  6.37757202e+01  7.07945784e+00 -3.24811220e-01 
 7.94328235e+00  7.94328235e+00  0.00000000e+00  7.94328235e+00  6.37756841e+01  7.94328235e+00 -3.64443172e-01 
 8.91250938e+00  8.91250938e+00  0.00000000e+00  8.91250938e+00  6.37756386e+01  8.91250938e+00 -4.08910537e-01 
 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.00000000e+01  6.37755813e+01  1.00000000e+01 -4.58803152e-01 
 1.12201845e+01  1.12201845e+01  0.00000000e+00  1.12201845e+01  6.37755092e+01  1.12201845e+01 -5.14782755e-01 
 1.25892541e+01  1.25892541e+01  0.00000000e+00  1.25892541e+01  6.37754185e+01  1.25892541e+01 -5.77591728e-01 
 1.41253754e+01  1.41253754e+01  0.00000000e+00  1.41253754e+01  6.37753042e+01  1.41253754e+01 -6.48062895e-01 
 1.58489319e+01  1.58489319e+01  0.00000000e+00  1.58489319e+01  6.37751604e+01  1.58489319e+01 -7.27130500e-01 
 1.77827941e+01  1.77827941e+01  0.00000000e+00  1.77827941e+01  6.37749793e+01  1.77827941e+01 -8.15842502e-01 
 1.99526231e+01  1.99526231e+01  0.00000000e+00  1.99526231e+01  6.37747514e+01  1.99526231e+01 -9.15374328e-01 
 2.23872114e+01  2.23872114e+01  0.00000000e+00  2.23872114e+01  6.37744644e+01  2.23872114e+01 -1.02704427e+00 
 2.51188643e+01  2.51188643e+01  0.00000000e+00  2.51188643e+01  6.37741032e+01  2.51188643e+01 -1.15233067e+00 
 2.81838293e+01  2.81838293e+01  0.00000000e+00  2.81838293e+01  6.37736485e+01  2.81838293e+01 -1.29289116e+00 
 3.16227766e+01  3.16227766e+01  0.00000000e+00  3.16227766e+01  6.37730761e+01  3.16227766e+01 -1.45058401e+00 
 3.54813389e+01  3.54813389e+01  0.00000000e+00  3.54813389e+01  6.37723556e+01  3.54813389e+01 -1.62749203e+00 
 3.98107171e+01  3.98107171e+01  0.00000000e+00  3.98107171e+01  6.37714488e+01  3.98107171e+01 -1.82594898e+00 
 4.46683592e+01  4.46683592e+01  0.00000000e+00  4.46683592e+01  6.37703074e+01  4.46683592e+01 -2.04856897e+00 
 5.01187234e+01  5.01187234e+01  0.00000000e+00  5.01187234e+01  6.37688709e+01  5.01187234e+01 -2.29827874e+00 
 5.62341325e+01  5.62341325e+01  0.00000000e+00  5.62341325e+01  6.37670631e+01  5.62341325e+01 -2.57835332e+00 
 6.30957344e+01  6.30957344e+01  0.00000000e+00  6.30957344e+01  6.37647883e+01  6.30957344e+01 -2.89245482e+00 
 7.07945784e+01  7.07945784e+01  0.00000000e+00  7.07945784e+01  6.37619262e+01  7.07945784e+01 -3.24467461e+00 
 7.94328235e+01  7.94328235e+01  0.00000000e+00  7.94328235e+01  6.37583257e+01  7.94328235e+01 -3.63957844e+00 
 8.91250938e+01  8.91250938e+01  0.00000000e+00  8.91250938e+01  6.37537973e+01  8.91250938e+01 -4.08225427e+00 
 1.00000000e+02  1.00000000e+02  0.00000000e+00  1.00000000e+02  6.37481029e+01  1.00000000e+02 -4.57836178e+00 
 1.12201845e+02  1.12201845e+02  0.00000000e+00  1.12201845e+02  6.37409448e+01  1.12201845e+02 -5.13418233e+00 
 1.25892541e+02  1.25892541e+02  0.00000000e+00  1.25892541e+02  6.37319500e+01  1.25892541e+02 -5.75666710e+00 
 1.41253754e+02  1.41253754e+02  0.00000000e+00  1.41253754e+02  6.37206526e+01  1.41253754e+02 -6.45348027e+00 
 1.58489319e+02  1.58489319e+02  0.00000000e+00  1.58489319e+02  6.37064717e+01  1.58489319e+02 -7.23303248e+00 
 1.77827941e+02  1.77827941e+02  0.00000000e+00  1.77827941e+02  6.36886847e+01  1.77827941e+02 -8.10449808e+00 
 1.99526231e+02  1.99526231e+02  0.00000000e+00  1.99526231e+02  6.36663951e+01  1.99526231e+02 -9.07780695e+00 
 2.23872114e+02  2.23872114e+02  0.00000000e+00  2.23872114e+02  6.36384960e+01  2.23872114e+02 -1.01635986e+01 
 2.51188643e+02  2.51188643e+02  0.00000000e+00  2.51188643e+02  6.36036260e+01  2.51188643e+02 -1.13731227e+01 
 2.81838293e+02  2.81838293e+02  0.00000000e+00  2.81838293e+02  6.35601216e+01  2.81838293e+02 -1.27180650e+01 
 3.16227766e+02  3.16227766e+02  0.00000000e+00  3.16227766e+02  6.35059653e+01  3.16227766e+02 -1.42102756e+01 
 3.54813389e+02  3.54813389e+02  0.00000000e+00  3.54813389e+02  6.34387330e+01  3.54813389e+02 -1.58613708e+01 
 3.98107171e+02  3.98107171e+02  0.00000000e+00  3.98107171e+02  6.33555462e+01  3.98107171e+02 -1.76821808e+01 
 4.46683592e+02  4.46683592e+02  0.00000000e+00  4.46683592e+02  6.32530362e+01  4.46683592e+02 -1.96820218e+01 
 5.01187234e+02  5.01187234e+02  0.00000000e+00  5.01187234e+02  6.31273318e+01  5.01187234e+02 -2.18677828e+01 
 5.62341325e+02  5.62341325e+02  0.00000000e+00  5.62341325e+02  6.29740835e+01  5.62341325e+02 -2.42428453e+01 
 6.30957344e+02  6.30957344e+02  0.00000000e+00  6.30957344e+02  6.27885401e+01  6.30957344e+02 -2.68058957e+01 
 7.07945784e+02  7.07945784e+02  0.00000000e+00  7.07945784e+02  6.25656909e+01  7.07945784e+02 -2.95497447e+01 
 7.94328235e+02  7.94328235e+02  0.00000000e+00  7.94328235e+02  6.23004818e+01  7.94328235e+02 -3.24603277e+01 
 8.91250938e+02  8.91250938e+02  0.00000000e+00  8.91250938e+02  6.19881020e+01  8.91250938e+02 -3.55161076e+01 
 1.00000000e+03  1.00000000e+03  0.00000000e+00  1.00000000e+03  6.16243199e+01  1.00000000e+03 -3.86881062e+01 
 1.12201845e+03  1.12201845e+03  0.00000000e+00  1.12201845e+03  6.12058283e+01  1.12201845e+03 -4.19407354e+01 
 1.25892541e+03  1.25892541e+03  0.00000000e+00  1.25892541e+03  6.07305485e+01  1.25892541e+03 -4.52334690e+01 
 1.41253754e+03  1.41253754e+03  0.00000000e+00  1.41253754e+03  6.01978344e+01  1.41253754e+03 -4.85232164e+01 
