 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  6.36575931e+01  1.00000000e+00 -4.19766803e-02 
 1.12201845e+00  1.12201845e+00  0.00000000e+00  1.12201845e+00  6.36575924e+01  1.12201845e+00 -4.70986078e-02 
 1.25892541e+00  1.25892541e+00  0.00000000e+00  1.25892541e+00  6.36575917e+01  1.25892541e+00 -5.28455040e-02 
 1.41253754e+00  1.41253754e+00  0.00000000e+00  1.41253754e+00  6.36575907e+01  1.41253754e+00 -5.92936264e-02 
 1.58489319e+00  1.58489319e+00  0.00000000e+00  1.58489319e+00  6.36575895e+01  1.58489319e+00 -6.65285369e-02 
 1.77827941e+00  1.77827941e+00  0.00000000e+00  1.77827941e+00  6.36575880e+01  1.77827941e+00 -7.46462375e-02 
 1.99526231e+00  1.99526231e+00  0.00000000e+00  1.99526231e+00  6.36575861e+01  1.99526231e+00 -8.37544437e-02 
 2.23872114e+00  2.23872114e+00  0.00000000e+00  2.23872114e+00  6.36575837e+01  2.23872114e+00 -9.39740141e-02 
 2.51188643e+00  2.51188643e+00  0.00000000e+00  2.51188643e+00  6.36575807e+01  2.51188643e+00 -1.05440554e-01 
 2.81838293e+00  2.81838293e+00  0.00000000e+00  2.81838293e+00  6.36575769e+01  2.81838293e+00 -1.18306212e-01 
 3.16227766e+00  3.16227766e+00  0.00000000e+00  3.16227766e+00  6.36575721e+01  3.16227766e+00 -1.32741705e-01 
 3.54813389e+00  3.54813389e+00  0.00000000e+00  3.54813389e+00  6.36575660e+01  3.54813389e+00 -1.48938573e-01 
 3.98107171e+00  3.98107171e+00  0.00000000e+00  3.98107171e+00  6.36575584e+01  3.98107171e+00 -1.67111730e-01 
 4.46683592e+00  4.46683592e+00  0.00000000e+00  4.46683592e+00  6.36575489e+01  4.46683592e+00 -1.87502308e-01 
 5.01187234e+00  5.01187234e+00  0.00000000e+00  5.01187234e+00  6.36575368e+01  5.01187234e+00 -2.10380855e-01 
 5.62341325e+00  5.62341325e+00  0.00000000e+00  5.62341325e+00  6.36575217e+01  5.62341325e+00 -2.36050927e-01 
 6.30957344e+00  6.30957344e+00  0.00000000e+00  6.30957344e+00  6.36575026e+01  6.30957344e+00 -2.64853109e-01 
 7.07945784e+00  7.07945784e+00  0.00000000e+00  7.07945784e+00  6.36574786e+01  7.07945784e+00 -2.97169528e-01 
 7.94328235e+00  7.94328235e+00  0.00000000e+00  7.94328235e+00  6.36574483e+01  7.94328235e+00 -3.33428920e-01 
 8.91250938e+00  8.91250938e+00  0.00000000e+00  8.91250938e+00  6.36574102e+01  8.91250938e+00 -3.74112308e-01 
 1.00000000e+01  1.00000000e+01  0.00000000e+00  1.00000000e+01  6.36573623e+01  1.00000000e+01 -4.19759369e-01 
